kind	path	token	reason
error-prose	dev/src/lowering/calls/arguments.h	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/calls/function_calls.h	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/control/control_flow.h	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/control/regions.h	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/control/statements.h	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/core/driver.cpp	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/core/program_lowerer.cpp	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/core/source_types.cpp	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/expressions/assignment.h	PA7	existing diagnostic prose; output contract
error-prose	dev/src/lowering/expressions/assignment.h	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/expressions/core.h	PA7	existing diagnostic prose; output contract
error-prose	dev/src/lowering/expressions/core.h	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/ir/model.cpp	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/ir/render.cpp	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/ir/render.cpp	PA11	existing diagnostic prose; output contract
error-prose	dev/src/lowering/ir/render.cpp	PA12	existing diagnostic prose; output contract
error-prose	dev/src/lowering/ir/render.cpp	PA21	existing diagnostic prose; output contract
error-prose	dev/src/lowering/ir/types.h	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/objects/initialization.h	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/objects/initialization.h	PA12	existing diagnostic prose; output contract
error-prose	dev/src/lowering/objects/polymorphism.cpp	PA13	existing diagnostic prose; output contract
error-prose	dev/src/lowering/objects/static_initialization.cpp	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/objects/static_initialization.cpp	PA11	existing diagnostic prose; output contract
error-prose	dev/src/lowering/objects/static_members.h	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/objects/storage_access.h	PA10	existing diagnostic prose; output contract
error-prose	dev/src/lowering/objects/temporary_lifetime.h	PA12	existing diagnostic prose; output contract
error-prose	dev/src/preprocess/tokens/post_tokenizer.cpp	PA2	existing diagnostic prose; output contract
error-prose	dev/src/semantic/analysis/analyzer.cpp	PA7	existing diagnostic prose; output contract
error-prose	dev/src/semantic/declarations/analysis.cpp	PA7	existing diagnostic prose; output contract
error-prose	dev/src/semantic/declarations/declarator_types.cpp	PA6	existing diagnostic prose; output contract
error-prose	dev/src/semantic/expressions/literals.cpp	PA7	existing diagnostic prose; output contract
error-prose	dev/src/semantic/initialization/allocation.cpp	PA11	existing diagnostic prose; output contract
error-prose	dev/src/semantic/initialization/allocation.cpp	PA12	existing diagnostic prose; output contract
error-prose	dev/src/semantic/model/graph.h	PA7	existing diagnostic prose; output contract
error-prose	dev/src/semantic/model/program.cpp	PA6	existing diagnostic prose; output contract
error-prose	dev/src/semantic/presentation/type_projection.cpp	PA6	existing diagnostic prose; output contract
error-prose	dev/src/semantic/templates/aliases_and_lambdas.cpp	PA17	existing diagnostic prose; output contract
error-prose	dev/src/semantic/templates/arguments.cpp	PA15	existing diagnostic prose; output contract
error-prose	dev/src/semantic/templates/function_instantiation.cpp	PA7	existing diagnostic prose; output contract
error-prose	dev/src/semantic/templates/placeholders.cpp	PA18	existing diagnostic prose; output contract
